강좌코드,강좌명,교수명,강의시간/강의실,이수구분
EE209-01,논리회로,정연모,화 10:30-11:45 (전220)목 10:30-11:45 (전220),전공필수(04)
EE209-02,논리회로,박욱,수 13:30-14:45 (전220)금 13:30-14:45 (전220),전공필수(04)
EE210-00,신호와시스템,김규헌,월 10:30-11:45 (전445)수 10:30-11:45 (전445),전공필수(04)/전공선택(05)
EE210-01,신호와시스템,정해준,월 10:30-11:45 (전539)수 10:30-11:45 (전539),전공필수(04)/전공선택(05)
EE210-02,신호와시스템,김영수,화 15:00-16:15 (전539)목 15:00-16:15 (전539),전공필수(04)/전공선택(05)
EE210-03,신호와시스템,손원,화 10:30-11:45 (전226)목 10:30-11:45 (전226),전공필수(04)
EE211-00,확률및랜덤변수,이계산,월 15:00-16:15 (전220)수 15:00-16:15 (전220),전공기초(11)/전공선택(05)
EE211-01,확률및랜덤변수,김윤희,월 15:00-16:15 (전226)수 15:00-16:15 (전226),전공기초(11)/전공선택(05)
EE211-02,확률및랜덤변수,김정근,화 15:00-16:15 (전220)목 15:00-16:15 (전220),전공기초(11)/전공선택(05)
EE211-03,확률및랜덤변수,송주빈,화 15:00-16:15 (전226)목 15:00-16:15 (전226),전공기초(11)/전공선택(05)
CSE208-00,IT기술영어1,AUNAS MANZOOR,월 10:30-11:20 (B09),전공필수(04)
CSE309-00,IT기술영어3,AUNAS MANZOOR,수 10:30-11:20 (B09),전공필수(04)
CSE103-00,객체지향프로그래밍,이대호,월 16:00-17:50 (전205)수 16:00-17:50 (전205),전공필수(04)
CSE103-01,객체지향프로그래밍,최진우,화 13:00-14:50 (B09)목 13:00-14:50 (B09),전공필수(04)
CSE305-00,데이터베이스,이영구,화 15:00-16:15 (B09)목 15:00-16:15 (B09),전공필수(04)
CSE305-01,데이터베이스,김태연,화 15:00-16:15 (전103)목 15:00-16:15 (전103),전공필수(04)
CSE327-00,소프트웨어공학,허의남,월 15:00-16:15 (B09)수 15:00-16:15 (B09),전공필수(04)
CSE304-01,알고리즘분석,한치근,화 13:00-14:45 (전103)목 13:00-14:45 (전103),전공필수(04)
CSE223-00,오픈소스SW개발,진성욱,금 13:30-16:00 (B09),전공필수(04)
