,index,물리학및실험 1,미분적분학,선형대수,확률및랜덤변수,미분방정식,이산구조,디자인적사고,웹/파이선프로그래밍,객체지향프로그래밍,논리회로,컴퓨터구조,자료구조,운영체제,컴퓨터네트워크,소프트웨어공학,알고리즘분석,데이터베이스,오픈소스SW개발,IT기술영어 1,IT기술영어 2,IT기술영어 3,캡스톤디자인 1,캡스톤디자인 2,졸업논문,기계학습,신호와시스템,문제해결,형식언어및컴파일러,파일처리,멀티미디어시스템,시스템분석및설계,프로그래밍언어구조론,SW스타트업비즈니스,SW스타트업프로젝트,최신기술프로젝트 1,최신기술프로젝트 2,최신기술콜로키움 1,최신기술콜로키움 2,단기현장실습,장기현장실습,연구연수활동 1,연구연수활동 2,독립심화학습 1,독립심화학습 2,인공지능,빅데이터프로그래밍,클라우드컴퓨팅,데이터센터프로그래밍,정보보호,모바일프로그래밍,웹서비스프로그래밍,리눅스시스템프로그래밍,IoT디지털시스템,IoT소프트웨어,로봇스프트웨어,영상처리,컴퓨터그래픽스,멀티미디어처리,인간-컴퓨터상호작용,UI/UX프로그래밍,컴퓨터비전,AI네트워킹,IoT네트워크,딥러닝,실전기계학습
0,1,1,1,3,2,2,2,2,1,4,3,6,3,6,7,5,4,7,4,8,5,5,7,9,9,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,8,7,0,0,0,0,0,0,0
1,3,1,1,4,3,2,3,2,1,3,4,6,6,4,7,5,7,4,7,4,4,8,9,7,9,6,0,0,0,0,0,6,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0
2,4,1,1,1,1,4,2,2,1,3,4,6,4,6,8,6,7,6,6,5,8,8,9,7,8,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
3,5,2,1,4,2,3,2,2,1,4,2,4,5,6,6,6,7,4,4,8,5,7,9,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,7,0
4,6,2,1,2,2,3,2,3,1,3,3,6,4,7,4,4,7,4,7,8,4,5,9,9,9,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,7,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5,8,1,1,1,1,4,2,2,1,2,2,5,6,6,8,4,7,6,8,5,5,5,8,8,8,6,7,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,2,1,1,1,2,2,2,1,4,3,3,6,6,8,5,4,7,7,4,6,7,7,9,9,5,0,7,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
7,10,1,1,3,3,2,2,3,1,4,3,4,3,6,6,6,5,4,5,8,6,6,7,7,9,6,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
8,11,2,1,4,3,3,3,3,1,2,4,6,6,7,5,4,7,4,4,4,7,6,8,7,8,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0
9,12,1,1,3,2,2,3,3,1,2,3,4,3,6,6,8,4,4,5,5,4,4,9,7,8,5,0,0,5,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0
10,13,2,1,3,2,4,2,2,1,4,4,3,6,4,6,5,4,8,6,5,6,7,8,8,8,7,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
11,14,1,1,1,1,4,4,3,1,3,5,6,6,8,4,5,4,6,5,5,4,6,8,9,8,4,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,7,0,0,0,0
12,15,2,1,3,4,2,2,2,1,3,4,4,5,8,8,7,5,7,5,8,5,7,9,8,8,6,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0
13,16,1,1,2,3,2,3,2,1,3,3,4,3,7,4,8,7,6,8,7,6,7,7,9,9,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,18,1,1,1,3,4,4,3,1,3,5,6,3,5,5,6,5,7,6,6,4,7,9,7,9,7,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0
15,19,2,1,4,2,2,2,3,1,2,4,5,3,8,4,8,5,7,6,6,4,8,7,8,8,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,5,0,8,0,0
16,20,1,1,2,2,2,4,3,1,2,3,6,6,4,6,7,8,6,4,4,5,6,8,7,8,6,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0
